eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
,,,,2.0,4,1.3553,29.515,2.951,5314938979440.0,5.433399677276611,-2.3999999999999995,55
2.2494213581085205,0.0313,127.995,31.999,1.0,2,,,,,,-2.4999999999999996,56
2.249452829360962,0.0318,125.883,31.471,2.0,4,,,,,,-2.4999999999999996,56
,,,,2.0,4,1.3317,30.037,3.004,5314938979440.0,5.4217987060546875,-2.4999999999999996,56
2.2492260932922363,0.0313,127.978,31.994,1.0,2,,,,,,-2.5999999999999996,57
2.249260425567627,0.033,121.322,30.33,2.0,4,,,,,,-2.5999999999999996,57
,,,,2.0,4,1.367,29.261,2.926,5314938979440.0,5.417132377624512,-2.5999999999999996,57
2.2491214275360107,0.0469,85.338,21.335,1.0,2,,,,,,-2.6999999999999997,58
2.249147891998291,0.0312,128.011,32.003,2.0,4,,,,,,-2.6999999999999997,58
,,,,2.0,4,1.3294,30.089,3.009,5314938979440.0,5.406912326812744,-2.6999999999999997,58
2.248964548110962,0.0312,128.008,32.002,1.0,2,,,,,,-2.8,59
2.2488794326782227,0.033,121.09,30.272,2.0,4,,,,,,-2.8,59
,,,,2.0,4,1.3287,30.104,3.01,5314938979440.0,5.401040554046631,-2.8,59
2.2487943172454834,0.0329,121.652,30.413,1.0,2,,,,,,-2.9,60
2.2488417625427246,0.0313,127.958,31.99,2.0,4,,,,,,-2.9,60
,,,,2.0,4,1.3435,29.774,2.977,5314938979440.0,5.39130163192749,-2.9,60
2.2486071586608887,0.0468,85.379,21.345,1.0,2,,,,,,-3.0,61
2.248638153076172,0.0313,127.981,31.995,2.0,4,,,,,,-3.0,61
,,,,2.0,4,1.368,29.241,2.924,5314938979440.0,5.387288570404053,-3.0,61
