eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
2.225959300994873,0.0316,31.648,31.648,1.0,5,,,,,,-1.0999999999999983,42
2.226130485534668,0.0312,32.003,32.003,2.0,10,,,,,,-1.0999999999999983,42
,,,,2.0,10,3.4342,11.648,2.912,15610061202432.0,8.932041931152344,-1.0999999999999983,42
2.228302478790283,0.0298,33.541,33.541,1.0,5,,,,,,-1.1999999999999984,43
2.228364944458008,0.0469,21.337,21.337,2.0,10,,,,,,-1.1999999999999984,43
,,,,2.0,10,3.4899,11.462,2.865,15610061202432.0,8.930368804931641,-1.1999999999999984,43
2.229808807373047,0.0386,25.893,25.893,1.0,5,,,,,,-1.2999999999999985,44
2.2298476696014404,0.0469,21.338,21.338,2.0,10,,,,,,-1.2999999999999985,44
,,,,2.0,10,3.5357,11.313,2.828,15610061202432.0,8.929174041748047,-1.2999999999999985,44
2.231861114501953,0.0318,31.408,31.408,1.0,5,,,,,,-1.3999999999999986,45
2.2319111824035645,0.0312,32.005,32.005,2.0,10,,,,,,-1.3999999999999986,45
,,,,2.0,10,3.4645,11.546,2.886,15610061202432.0,8.929364013671876,-1.3999999999999986,45
2.233607530593872,0.048,20.815,20.815,1.0,5,,,,,,-1.4999999999999987,46
2.233686923980713,0.0313,31.977,31.977,2.0,10,,,,,,-1.4999999999999987,46
,,,,2.0,10,3.554,11.255,2.814,15610061202432.0,8.928448486328126,-1.4999999999999987,46
2.235628604888916,0.0454,22.01,22.01,1.0,5,,,,,,-1.5999999999999988,47
2.2356553077697754,0.0313,31.982,31.982,2.0,10,,,,,,-1.5999999999999988,47
,,,,2.0,10,3.407,11.74,2.935,15610061202432.0,8.927908325195313,-1.5999999999999988,47
2.237367630004883,0.0298,33.544,33.544,1.0,5,,,,,,-1.6999999999999988,48
2.237398862838745,0.0313,31.989,31.989,2.0,10,,,,,,-1.6999999999999988,48
,,,,2.0,10,3.4133,11.719,2.93,15610061202432.0,8.928699493408203,-1.6999999999999988,48
2.2393994331359863,0.0319,31.377,31.377,1.0,5,,,,,,-1.799999999999999,49
2.2394397258758545,0.0313,31.992,31.992,2.0,10,,,,,,-1.799999999999999,49
,,,,2.0,10,3.4805,11.492,2.873,15610061202432.0,8.926408386230468,-1.799999999999999,49
